1,4
2,1
3,4
4,3
5,2
6,3
7,4
8,1
9,4
10,2
11,1
12,4
13,1
14,2
15,3
16,1
17,1
18,1
19,3
20,4
21,3
22,1
23,1
24,1
25,2
26,3
27,4
28,2
29,2
30,3
31,1
32,1
33,1
34,3
35,2
36,2
37,1
38,3
39,3
40,2
41,1
42,1
43,4
44,3
45,3
46,1
47,3
48,4
49,3
50,3
51,1
52,3
53,4
54,4
55,1
56,2
57,1
58,2
59,1
60,4
61,2
62,2
63,2
64,2
65,2
66,1
67,3
68,3
69,3
70,1
71,3
72,1
73,1
74,1
75,3
76,4
77,2
78,4
79,2
80,2
81,1
82,2
83,1
84,1
85,3
86,1
87,4
88,1
89,3
90,4
91,1
92,2
93,2
94,1
95,3
96,1
97,4
98,2
99,4
100,1
101,3
102,2
